Question,SAA,NOP,RAA,ITD,MDM,JKM,AMT,MTS,BPS,JBBM,LMI,ATP,ATK,HMA,PPM,CES,MRMS,DLA,MSA,JRBM,RBB,NGM,MGA,ASG,ALU,NDT,MAP,DTL,ALD,SAM,AHUA,NPA,SGHU,NMG,ALHU,,AVERAGE COMPETENCY LEVEL OF ALL STAFF FOR EACH COMPETENCY
ANALYTICAL AND CRITICAL THINKING SKILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.         I can identify key issues and draw conclusions from the information provided to me.,4,2,5,2,3,3,2,1,2,5,3,3,3,5,2,5,4,2,2,4,5,4,3,1,4,5,3,5,2,4,3,5,4,3,2,,
2.         I break down complex problems into smaller parts to better understand and analyze them.,4,4,6,3,2,3,3,3,2,5,4,4,1,5,1,4,3,2,3,4,6,3,3,5,4,4,3,5,2,5,4,5,3,7,3,,
3.         I use data and evidence to support my analyses and recommendations.,4,4,5,3,6,4,3,2,4,5,3,3,3,5,2,5,3,3,2,3,7,4,3,5,5,7,3,3,3,6,3,6,4,2,2,,
4.         I develop innovative solutions by thinking critically about the implications of my analysis.,3,4,5,2,5,3,4,3,3,5,4,4,3,4,3,4,5,2,2,3,5,4,4,3,4,6,4,4,2,5,4,6,3,4,3,,
5.         I challenge existing assumptions and generate groundbreaking insights through my analysis.,4,3,4,3,3,4,3,4,1,4,2,3,3,5,3,4,3,1,1,2,6,3,2,4,4,5,5,4,3,4,3,5,2,3,3,,
AVERAGE RATING OF EACH STAFF FOR ANALYTICAL AND CRITICAL THINKING SKILLS,3.8,3.4,5,2.6,3.8,3.4,3,2.6,2.4,4.8,3.2,3.4,2.6,4.8,2.2,4.4,3.6,2,2,3.2,5.8,3.6,3,3.6,4.2,5.4,3.6,4.2,2.4,4.8,3.4,5.4,3.2,3.8,2.6,,3.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATIVITY AND INNOVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.         I am open to new ideas and approaches in my work.,5,4,5,3,4,4,4,3,2,4,3,4,2,5,4,6,5,3,2,3,7,6,4,5,5,7,4,3,2,6,3,6,4,4,4,,
7.         I suggest creative solutions to problems that go beyond conventional thinking.,4,4,4,2,5,4,4,3,5,4,3,3,3,4,3,6,4,1,1,4,6,4,3,5,5,5,3,4,3,5,4,5,3,3,3,,
8.         I take calculated risks to try out innovative ideas and learn from the results.,5,5,4,3,6,5,3,5,3,4,2,2,3,3,4,5,5,2,2,3,5,3,3,5,4,6,3,4,3,5,4,5,2,5,2,,
9.         I develop and implement original projects that significantly improve our services.,5,5,5,4,3,3,3,2,5,4,3,5,4,4,3,5,3,2,2,2,7,5,3,4,5,7,4,5,4,5,4,6,4,3,2,,
10.     I am recognized as a visionary leader who transforms our LGU through pioneering innovations.,5,5,5,4,4,3,3,4,5,4,2,2,2,5,2,4,6,3,1,2,7,4,4,4,5,7,3,4,3,5,4,5,4,3,2,,
AVERAGE RATING OF EACH STAFF FOR CREATIVITY AND INNOVATION,4.8,4.6,4.6,3.2,4.4,3.8,3.4,3.4,4,4,2.6,3.2,2.8,4.2,3.2,5.2,4.6,2.2,1.6,2.8,6.4,4.4,3.4,4.6,4.8,6.4,3.4,4,3,5.2,3.8,5.4,3.4,3.6,2.6,,3.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRATEGIC THINKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.     I understand and can explain our LGU's strategic objectives.,5,5,7,3,3,5,4,3,2,4,5,3,4,4,3,5,5,2,1,2,7,3,5,5,5,6,4,6,4,6,3,5,5,2,3,,
12.     I consider long-term implications when making decisions in my work.,6,6,4,4,3,6,5,5,6,5,1,5,3,5,4,4,5,3,1,2,6,3,5,3,5,7,4,5,2,5,3,6,3,3,3,,
13.     I develop plans and proposals that align with and support our LGU's strategic goals.,5,6,5,3,4,4,4,2,3,4,3,2,4,5,6,3,5,1,2,2,7,4,3,5,5,3,4,4,3,5,3,6,2,4,1,,
14.     I anticipate future trends and challenges and propose proactive strategies to address them.,4,3,3,3,4,4,4,4,4,4,2,3,4,3,3,4,4,2,1,2,6,4,4,6,5,2,3,3,3,4,4,6,3,2,1,,
15.     I shape the strategic direction of our LGU through forward-thinking vision and leadership.,4,6,4,3,3,4,4,1,2,4,2,5,4,5,4,4,5,2,1,3,6,4,5,5,5,3,4,6,2,5,3,6,2,1,2,,
AVERAGE RATING OF EACH STAFF FOR STRATEGIC THINKING,4.8,5.2,4.6,3.2,3.4,4.6,4.2,3,3.4,4.2,2.6,3.6,3.8,4.4,4,4,4.8,2,1.2,2.2,6.4,3.6,4.4,4.8,5,4.2,3.8,4.8,2.8,5,3.2,5.8,3,2.4,2,,3.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.     I share information and ideas clearly and concisely in my interactions with others.,4,5,7,4,5,3,6,2,1,5,3,2,3,5,2,5,6,3,2,2,7,,3,5,5,4,5,6,4,4,2,6,3,3,4,,
17.     I listen actively to my colleagues and stakeholders to understand their perspectives.,5,6,5,5,5,4,6,4,2,5,2,3,3,6,2,4,6,1,2,3,6,7,3,4,5,5,6,5,4,6,4,7,4,4,4,,
18.     I adapt my communication style to effectively engage different audiences.,5,5,5,3,5,4,4,3,4,4,2,2,1,5,3,4,5,2,3,3,6,4,4,4,5,4,4,5,3,5,4,6,3,3,3,,
19.     I persuasively present complex information to influence decisions and inspire action.,4,5,5,2,6,5,5,6,3,4,2,4,3,4,2,4,4,3,2,2,6,2,5,4,5,3,3,6,4,4,2,6,3,2,3,,
20.     I am a master communicator who crafts compelling narratives to transform hearts and minds.,4,2,6,2,5,3,3,4,5,4,2,5,4,4,2,5,3,1,2,1,5,2,2,4,4,2,3,4,3,4,4,6,4,3,2,,
AVERAGE RATING OF EACH STAFF FOR COMMUNICATION,4.4,4.6,5.6,3.2,5.2,3.8,4.8,3.8,3,4.4,2.2,3.2,2.8,4.8,2.2,4.4,4.8,2,2.2,2.2,6,3.75,3.4,4.2,4.8,3.6,4.2,5.2,3.6,4.6,3.2,6.2,3.4,3,3.2,,3.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLABORATION AND TEAM WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.     I actively participate in team discussions and contribute to collective efforts.,5,5,5,4,3,5,4,3,1,4,2,4,3,6,4,5,5,2,2,3,7,4,4,5,5,2,4,6,5,6,4,6,4,4,2,,
22.     I build positive relationships with colleagues and help create a supportive team environment.,4,6,5,4,6,5,6,5,2,5,2,2,4,6,4,4,7,3,3,5,7,5,4,5,4,3,5,6,5,5,3,6,5,1,4,,
23.     I facilitate effective collaboration by bridging differences and finding common ground.,4,6,5,3,6,4,6,4,4,4,2,3,5,4,5,3,5,3,2,3,6,4,3,4,5,4,4,4,4,5,4,5,6,2,3,,
24.     I inspire and coach others to be better team players and collaborators.,5,7,5,4,3,4,6,5,3,4,1,3,2,5,4,3,4,2,1,2,5,,3,4,5,3,3,5,4,5,5,6,3,3,4,,
25.     I am known for building exceptional teams that achieve amazing results through collaboration.,4,3,5,3,3,4,4,3,4,4,2,3,3,3,2,4,4,3,2,2,5,3,3,5,5,4,3,4,2,5,4,5,4,3,3,,
AVERAGE RATING OF EACH STAFF FOR COLLABORATION AND TEAM WORK,4.4,5.4,5,3.6,4.2,4.4,5.2,4,2.8,4.2,1.8,3,3.4,4.8,3.8,3.8,5,2.6,2,3,6,4,3.4,4.6,4.8,3.2,3.8,5,4,5.2,4,5.6,4.4,2.6,3.2,,4.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESEARCH AND ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.     I can find and collect relevant information to inform my work.,5,4,6,4,6,5,4,3,3,5,2,4,2,4,5,4,5,4,2,2,6,4,5,5,5,5,4,6,3,5,4,7,6,4,4,,
27.     I analyze data systematically to uncover patterns and insights.,4,4,5,3,3,4,4,4,2,5,2,2,2,5,3,3,3,3,2,2,5,3,3,4,4,4,4,4,2,5,4,6,2,3,3,,
28.     I draw meaningful conclusions by synthesizing information from various sources.,5,3,5,4,3,4,4,5,4,5,2,4,3,5,2,3,5,3,2,2,5,5,3,1,4,3,4,5,2,4,5,6,5,2,3,,
29.     I design and conduct rigorous research to generate new knowledge and understanding.,5,3,5,4,4,5,5,3,5,3,1,2,3,5,3,4,4,2,1,1,6,4,4,2,4,2,3,6,3,4,3,6,6,3,1,,
30.     I am a recognized research expert who develops innovative methodologies to advance the field.,5,2,5,2,1,4,4,6,3,3,2,1,2,5,2,4,6,4,1,1,5,2,2,5,5,3,4,4,6,5,5,7,4,1,1,,
AVERAGE RATING OF EACH STAFF FOR RESEARCH AND ANALYSIS,4.8,3.2,5.2,3.4,3.4,4.4,4.2,4.2,3.4,4.2,1.8,2.6,2.4,4.8,3,3.6,4.6,3.2,1.6,1.6,5.4,3.6,3.4,3.4,4.4,3.4,3.8,5,3.2,4.6,4.2,6.4,4.6,2.6,2.4,,3.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROBLEM SOLVING AND DECISION MAKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.     I can identify and understand problems that need to be solved.,4,2,7,3,4,4,5,4,6,5,2,3,3,6,2,3,6,3,1,2,66,4,5,4,5,3,3,4,4,5,4,7,6,1,3,,
32.     I consider multiple options and weigh their pros and cons when solving problems.,4,3,5,3,2,4,4,4,2,4,2,2,2,4,2,3,7,2,1,2,5,4,2,4,4,4,4,3,3,4,3,6,6,4,2,,
33.     I make evidence-based decisions by analyzing relevant facts and data.,4,4,5,4,2,5,4,5,4,4,2,3,3,4,3,4,5,4,2,1,5,3,2,5,5,2,3,5,2,4,3,6,6,3,3,,
"34.     I develop comprehensive solutions to complex, multi-faceted problems.",3,4,4,2,2,3,4,5,2,3,3,2,2,4,3,3,5,4,1,1,7,3,3,4,3,3,3,5,3,4,4,6,5,3,2,,
35.     I am sought out for my ability to make wise decisions on highly complex and sensitive issues.,3,3,5,3,1,4,3,3,4,4,3,4,3,3,1,3,4,2,1,2,6,2,4,4,44,4,4,5,2,4,3,6,5,4,4,,
AVERAGE RATING OF EACH STAFF FOR PROBLEM SOLVING AND DECISION MAKING,3.6,3.2,5.2,3,2.2,4,4,4.2,3.6,4,2.4,2.8,2.6,4.2,2.2,3.2,5.4,3,1.2,1.6,17.8,3.2,3.2,4.2,12.2,3.2,3.4,4.4,2.8,4.2,3.4,6.2,5.6,3,2.8,,4.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTENTION TO DETAILS AND QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.     I carefully review my work to ensure there are no errors or inaccuracies.,4,4,5,4,6,4,5,5,1,5,7,2,2,7,5,5,6,3,2,3,5,5,3,4,4,3,6,6,5,5,5,7,7,2,5,,
37.     I follow guidelines and procedures closely to maintain high quality standards.,3,5,5,4,3,4,5,4,5,6,3,3,3,6,4,4,7,3,4,3,6,4,4,3,5,2,6,4,6,4,4,6,6,3,5,,
38.     I identify areas for improvement and propose ways to enhance the quality of our work.,4,6,5,3,3,5,5,5,3,4,7,4,4,6,4,4,6,1,3,3,5,4,5,5,5,5,4,5,6,4,5,6,66,4,3,,
39.     I develop and implement robust quality assurance processes for our LGU.,4,6,6,3,4,4,5,3,5,4,2,3,2,6,5,4,7,4,1,2,6,3,3,5,4,5,3,4,4,4,4,5,6,2,3,,
40.     I am known for producing flawless work of the highest caliber that exceeds all expectations.,4,3,5,4,2,4,4,4,4,3,2,4,2,5,2,3,5,2,1,2,6,2,4,5,4,3,3,3,4,4,3,6,5,1,3,,
AVERAGE RATING OF EACH STAFF FOR ATTENTION TO DETAILS AND QUALITY,3.8,4.8,5.2,3.6,3.6,4.2,4.8,4.2,3.6,4.4,4.2,3.2,2.6,6,4,4,6.2,2.6,2.2,2.6,5.6,3.6,3.8,4.4,4.4,3.6,4.4,4.4,5,4.2,4.2,6,18,2.4,3.8,,4.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME AND ATTENTION MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.     I consistently meet deadlines and deliver my work on time.,4,3,7,4,6,4,4,4,2,4,7,4,4,6,6,4,6,3,3,1,5,4,4,5,5,4,4,6,7,4,3,7,6,3,4,,
42.     I prioritize my tasks and allocate my time effectively to achieve my goals.,4,5,5,5,6,5,4,3,4,4,4,3,3,6,3,5,7,3,3,2,6,6,3,5,5,3,5,6,7,3,3,7,7,4,4,,
43.     I anticipate and adjust for potential obstacles to stay on track with project timelines.,3,5,5,3,2,4,5,3,4,4,2,5,2,5,4,3,6,4,3,1,6,4,3,5,3,4,3,6,2,4,4,6,5,3,4,,
44.     I help my team optimize our collective productivity and efficiency.,4,5,6,3,4,6,4,5,3,4,3,4,3,6,5,3,6,2,2,2,7,4,4,4,3,3,5,5,5,4,4,7,6,2,3,,
"45.     I am a role model for excellence in time management, juggling competing demands successfully.",3,2,7,4,4,5,4,3,5,3,2,2,4,5,3,3,4,2,2,1,6,2,4,5,4,2,3,4,4,4,4,7,6,4,3,,
AVERAGE RATING OF EACH STAFF FOR TIME AND ATTENTION MANAGEMENT,3.6,4,6,3.8,4.4,4.8,4.2,3.6,3.6,3.8,3.6,3.6,3.2,5.6,4.2,3.6,5.8,2.8,2.6,1.4,6,4,3.6,4.8,4,3.2,4,5.4,5,3.8,3.6,6.8,6,3.2,3.6,,4.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEXIBILITY AND ADAPTABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.     I am open to change and adapt easily to new processes and situations.,4,3,6,5,4,4,7,5,2,3,4,5,2,4,4,3,5,3,2,3,5,7,3,4,4,4,3,6,2,5,5,6,6,4,3,,
47.     I maintain a positive attitude and help my team navigate challenges when plans change.,4,6,5,4,3,6,6,5,4,4,2,4,3,6,3,4,4,4,1,2,7,4,3,4,4,2,3,6,6,5,4,6,6,3,4,,
48.     I proactively suggest ways to improve our flexibility as an organization.,3,6,6,3,2,5,6,3,3,3,3,2,2,5,3,3,5,4,1,2,6,3,3,4,4,5,3,6,6,5,3,6,6,3,2,,
49.     I lead change management initiatives to help our LGU quickly adapt to new realities.,3,6,6,3,2,4,6,4,2,4,3,1,3,5,5,4,4,2,2,3,5,2,4,4,4,4,3,6,3,4,5,6,6,2,3,,
50.     I am recognized for my ability to transform our LGU to thrive in an uncertain future.,3,5,6,3,3,3,5,5,3,3,2,4,3,5,5,3,4,4,1,3,6,2,5,5,4,5,4,6,3,4,4,6,5,4,2,,
AVERAGE RATING OF EACH STAFF FOR FLEXIBILITY AND ADAPTABILITY,3.4,5.2,5.8,3.6,2.8,4.4,6,4.4,2.8,3.4,2.8,3.2,2.6,5,4,3.4,4.4,3.4,1.4,2.6,5.8,3.6,3.6,4.2,4,4,3.2,6,4,4.6,4.2,6,5.8,3.2,2.8,,3.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 EMOTIONAL INTELLIGENCE AND ACCOUNTABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.     I am aware of my own emotions and how they impact my actions and decisions.,4,5,5,3,6,4,5,3,2,5,2,3,2,4,3,4,6,3,3,3,6,5,3,5,4,3,3,6,5,4,4,6,6,3,4,,
52.     I communicate with empathy and understanding to build positive relationships.,4,6,6,3,5,5,6,4,4,5,2,4,4,5,4,6,6,3,4,4,6,4,4,4,4,4,4,6,3,4,5,6,6,2,4,,
"53.     I hold myself accountable for my work and behavior, acknowledging my impact on others.",3,6,6,4,4,5,6,5,3,5,2,5,2,6,5,5,6,2,2,2,7,3,5,4,4,3,4,5,5,5,3,7,6,2,4,,
54.     I help my colleagues develop greater self-awareness and emotional intelligence.,4,5,5,3,6,5,6,6,3,4,2,3,3,4,4,5,5,2,1,2,6,4,3,4,3,2,3,4,3,5,5,7,5,3,5,,
"55.     I foster an organizational culture of compassion, accountability, and trust.",4,5,5,4,3,3,4,4,4,4,2,4,1,4,5,4,6,4,2,3,6,4,5,4,5,4,3,6,3,4,4,7,6,3,4,,
AVERAGE RATING FOR EMOTIONAL INTELLIGENCE AND ACCOUNTABILITY,3.8,5.4,5.4,3.4,4.8,4.4,5.4,4.4,3.2,4.6,2,3.8,2.4,4.6,4.2,4.8,5.8,2.8,2.4,2.8,6.2,4,4,4.2,4,3.2,3.4,5.4,3.8,4.4,4.2,6.6,5.8,2.6,4.2,,4.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHICS AND INTEGRITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.     I am honest and act with integrity in all my work activities.,4,7,5,4,7,5,6,5,4,4,2,3,3,6,6,4,5,3,3,5,7,6,5,5,5,6,4,7,6,5,4,7,6,4,6,,
57.     I follow our code of conduct and ethical guidelines consistently.,4,7,6,4,6,4,5,6,3,5,2,4,3,3,6,4,6,4,3,3,7,5,6,4,5,4,4,7,3,4,4,6,6,1,5,,
58.     I speak up if I witness unethical behavior and hold myself and others to high moral standards.,4,6,5,3,7,5,4,5,4,4,2,4,2,3,5,4,5,2,3,3,6,4,5,4,4,4,3,6,5,4,3,6,6,2,4,,
59.     I proactively identify and propose solutions to ethical dilemmas facing our LGU.,4,6,5,3,5,5,5,4,3,4,2,2,3,3,5,3,6,4,1,2,5,3,3,5,4,5,4,6,2,4,4,5,6,1,4,,
60.     I am looked to as a moral authority who upholds and shapes the ethics of the public sector.,4,6,5,3,4,4,5,6,2,5,2,4,3,3,5,3,5,3,2,1,7,4,3,5,4,6,3,6,3,5,3,6,6,3,4,,
AVERAGE RATING OF EACH STAFF FOR ETHICS AND INTEGRITY,4,6.4,5.2,3.4,5.8,4.6,5,5.2,3.2,4.4,2,3.4,2.8,3.6,5.4,3.6,5.4,3.2,2.4,2.8,6.4,4.4,4.4,4.6,4.4,5,3.6,6.4,3.8,4.4,3.6,6,6,2.2,4.6,,4.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE RATING OF EACH STAFF FOR ALL COMPETENCIES,4.10,4.62,5.23,3.33,4.00,4.23,4.52,3.92,3.25,4.20,2.60,3.25,2.83,4.73,3.53,4.00,5.03,2.65,1.90,2.40,6.98,3.68,3.63,4.30,5.08,4.03,3.72,5.02,3.62,4.58,3.75,6.03,5.77,2.88,3.15,,4.02
